Wavelength,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
400,0.354,0.459,0.139,0.335,0.231,0.249,0.245,0.452,0.205,0.507,0.258,0.447,0.036,0.046,0.048,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.588,0.599,0.23,0.351,0.287,0.463,0.153,0.438,0.287,0.271,0.132,0.5,0.236,0.469,0.045,0.045,0.046,0.045,0.045,0.045,0.046,0.045,0.045,0.045,0.422,0.592
404,0.346,0.452,0.137,0.329,0.226,0.245,0.24,0.446,0.213,0.548,0.27,0.466,0.036,0.046,0.047,0.045,0.044,0.045,0.045,0.044,0.044,0.045,0.607,0.62,0.224,0.34,0.279,0.456,0.149,0.431,0.279,0.266,0.139,0.521,0.251,0.489,0.045,0.045,0.046,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.438,0.618
408,0.337,0.443,0.134,0.322,0.221,0.242,0.234,0.439,0.221,0.588,0.282,0.484,0.035,0.045,0.047,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.625,0.641,0.218,0.329,0.269,0.449,0.145,0.425,0.272,0.26,0.146,0.542,0.267,0.509,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.044,0.045,0.452,0.643
412,0.33,0.433,0.13,0.315,0.216,0.24,0.229,0.433,0.23,0.628,0.295,0.502,0.035,0.045,0.046,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.643,0.662,0.212,0.319,0.26,0.442,0.142,0.419,0.265,0.256,0.152,0.562,0.282,0.528,0.044,0.044,0.045,0.044,0.044,0.044,0.045,0.044,0.044,0.044,0.465,0.668
416,0.323,0.427,0.129,0.31,0.213,0.238,0.226,0.428,0.24,0.672,0.309,0.522,0.035,0.045,0.046,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.663,0.684,0.208,0.311,0.254,0.436,0.139,0.415,0.26,0.253,0.161,0.585,0.3,0.549,0.044,0.044,0.045,0.044,0.044,0.044,0.045,0.044,0.044,0.044,0.482,0.694
420,0.316,0.421,0.128,0.306,0.209,0.235,0.221,0.422,0.251,0.718,0.324,0.544,0.035,0.044,0.046,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.688,0.71,0.205,0.305,0.249,0.429,0.136,0.408,0.255,0.25,0.17,0.61,0.32,0.573,0.044,0.043,0.044,0.044,0.043,0.043,0.044,0.043,0.043,0.043,0.503,0.724
424,0.311,0.416,0.128,0.303,0.206,0.232,0.217,0.417,0.264,0.77,0.341,0.57,0.035,0.044,0.045,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.718,0.74,0.202,0.3,0.246,0.423,0.133,0.402,0.25,0.247,0.181,0.64,0.342,0.6,0.043,0.043,0.044,0.044,0.043,0.043,0.044,0.043,0.043,0.043,0.529,0.76
428,0.307,0.411,0.128,0.299,0.204,0.229,0.213,0.413,0.277,0.825,0.36,0.599,0.035,0.044,0.045,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.751,0.774,0.2,0.295,0.244,0.418,0.131,0.397,0.246,0.244,0.191,0.67,0.363,0.629,0.043,0.043,0.044,0.043,0.043,0.043,0.044,0.043,0.043,0.043,0.556,0.797
432,0.302,0.403,0.125,0.293,0.201,0.226,0.21,0.408,0.289,0.875,0.377,0.625,0.035,0.044,0.045,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.78,0.805,0.197,0.289,0.239,0.412,0.129,0.391,0.242,0.24,0.198,0.696,0.381,0.655,0.043,0.043,0.044,0.043,0.043,0.043,0.044,0.043,0.043,0.043,0.576,0.829
436,0.298,0.396,0.122,0.287,0.199,0.223,0.206,0.403,0.296,0.907,0.388,0.641,0.034,0.043,0.045,0.042,0.042,0.043,0.042,0.042,0.042,0.043,0.797,0.825,0.194,0.284,0.234,0.405,0.127,0.386,0.239,0.237,0.202,0.71,0.391,0.67,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.587,0.847
440,0.294,0.391,0.121,0.282,0.198,0.222,0.204,0.399,0.303,0.932,0.397,0.653,0.034,0.043,0.045,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.809,0.838,0.192,0.28,0.23,0.4,0.126,0.382,0.236,0.236,0.207,0.72,0.4,0.68,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.594,0.857
444,0.291,0.388,0.121,0.28,0.197,0.222,0.202,0.396,0.31,0.953,0.407,0.664,0.034,0.043,0.045,0.042,0.042,0.042,0.043,0.042,0.042,0.043,0.821,0.85,0.192,0.277,0.227,0.397,0.125,0.38,0.235,0.236,0.213,0.731,0.411,0.691,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.606,0.867
448,0.287,0.384,0.121,0.278,0.196,0.222,0.201,0.393,0.319,0.979,0.419,0.679,0.034,0.043,0.045,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.839,0.866,0.19,0.274,0.224,0.392,0.123,0.376,0.233,0.235,0.22,0.746,0.424,0.707,0.042,0.042,0.043,0.043,0.042,0.042,0.043,0.043,0.042,0.042,0.623,0.884
452,0.284,0.378,0.119,0.274,0.195,0.22,0.198,0.389,0.331,1.017,0.434,0.702,0.034,0.043,0.045,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.865,0.891,0.188,0.27,0.221,0.388,0.122,0.372,0.23,0.234,0.23,0.77,0.442,0.731,0.042,0.042,0.043,0.043,0.042,0.042,0.043,0.042,0.042,0.042,0.649,0.91
456,0.28,0.37,0.116,0.269,0.192,0.217,0.195,0.384,0.339,1.053,0.446,0.722,0.034,0.043,0.045,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.891,0.916,0.186,0.266,0.217,0.382,0.12,0.366,0.227,0.23,0.236,0.79,0.453,0.752,0.042,0.042,0.043,0.042,0.042,0.042,0.043,0.042,0.042,0.042,0.671,0.935
460,0.275,0.361,0.114,0.262,0.189,0.213,0.192,0.378,0.343,1.077,0.453,0.733,0.034,0.042,0.044,0.042,0.041,0.042,0.042,0.041,0.042,0.042,0.907,0.933,0.183,0.261,0.212,0.375,0.119,0.36,0.224,0.225,0.236,0.799,0.455,0.762,0.042,0.042,0.043,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.68,0.947
464,0.273,0.356,0.113,0.258,0.188,0.211,0.19,0.375,0.341,1.077,0.453,0.731,0.034,0.042,0.044,0.042,0.041,0.042,0.042,0.041,0.042,0.042,0.907,0.936,0.182,0.258,0.21,0.371,0.118,0.357,0.222,0.224,0.231,0.793,0.446,0.756,0.042,0.042,0.043,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.672,0.941
468,0.271,0.353,0.113,0.257,0.187,0.211,0.189,0.373,0.333,1.057,0.444,0.715,0.034,0.042,0.044,0.041,0.041,0.041,0.041,0.041,0.041,0.042,0.89,0.922,0.182,0.257,0.21,0.367,0.117,0.354,0.222,0.224,0.222,0.773,0.43,0.736,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.651,0.917
472,0.269,0.353,0.115,0.257,0.187,0.212,0.189,0.372,0.322,1.021,0.431,0.689,0.033,0.042,0.044,0.041,0.041,0.041,0.041,0.041,0.041,0.042,0.862,0.896,0.182,0.256,0.21,0.365,0.116,0.354,0.221,0.226,0.213,0.746,0.41,0.706,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.624,0.881
476,0.268,0.354,0.116,0.258,0.187,0.214,0.188,0.371,0.312,0.984,0.419,0.664,0.033,0.042,0.044,0.041,0.041,0.041,0.041,0.041,0.041,0.042,0.835,0.867,0.182,0.255,0.21,0.363,0.116,0.352,0.221,0.228,0.207,0.72,0.395,0.678,0.042,0.042,0.042,0.042,0.041,0.042,0.042,0.042,0.041,0.042,0.602,0.846
480,0.265,0.351,0.116,0.256,0.186,0.213,0.186,0.367,0.306,0.956,0.41,0.647,0.033,0.042,0.044,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.817,0.846,0.181,0.253,0.208,0.36,0.114,0.349,0.218,0.226,0.205,0.704,0.386,0.66,0.041,0.041,0.042,0.042,0.041,0.041,0.042,0.041,0.041,0.041,0.592,0.824
484,0.259,0.341,0.111,0.249,0.183,0.207,0.181,0.358,0.302,0.938,0.402,0.634,0.033,0.041,0.044,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.807,0.832,0.177,0.247,0.203,0.352,0.112,0.34,0.213,0.219,0.203,0.695,0.38,0.65,0.041,0.041,0.042,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.59,0.81
488,0.255,0.331,0.107,0.241,0.179,0.201,0.176,0.351,0.3,0.93,0.399,0.63,0.033,0.041,0.043,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.807,0.829,0.174,0.242,0.198,0.346,0.11,0.333,0.209,0.211,0.202,0.692,0.376,0.647,0.041,0.041,0.042,0.041,0.041,0.041,0.042,0.041,0.041,0.041,0.592,0.808
492,0.252,0.32,0.103,0.234,0.175,0.195,0.172,0.344,0.295,0.922,0.393,0.622,0.033,0.041,0.043,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.802,0.826,0.171,0.237,0.193,0.34,0.109,0.325,0.205,0.203,0.196,0.685,0.365,0.638,0.041,0.041,0.042,0.041,0.041,0.041,0.042,0.041,0.041,0.041,0.585,0.801
496,0.249,0.312,0.1,0.228,0.172,0.191,0.17,0.339,0.284,0.899,0.381,0.603,0.033,0.042,0.044,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.783,0.812,0.168,0.234,0.19,0.335,0.107,0.32,0.202,0.198,0.185,0.665,0.344,0.615,0.041,0.041,0.042,0.041,0.041,0.041,0.042,0.041,0.041,0.041,0.56,0.779
500,0.247,0.306,0.099,0.224,0.17,0.188,0.168,0.336,0.266,0.858,0.361,0.57,0.033,0.041,0.043,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.749,0.784,0.167,0.231,0.187,0.33,0.106,0.316,0.2,0.196,0.169,0.63,0.313,0.578,0.041,0.041,0.042,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.52,0.739
504,0.244,0.303,0.098,0.222,0.169,0.187,0.167,0.333,0.242,0.793,0.332,0.522,0.033,0.041,0.043,0.041,0.04,0.041,0.041,0.041,0.04,0.041,0.695,0.736,0.166,0.229,0.186,0.327,0.105,0.314,0.199,0.195,0.148,0.579,0.273,0.523,0.041,0.041,0.042,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.463,0.678
508,0.243,0.301,0.099,0.221,0.168,0.187,0.166,0.331,0.215,0.712,0.299,0.465,0.033,0.042,0.044,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.631,0.676,0.165,0.227,0.184,0.324,0.105,0.311,0.198,0.195,0.128,0.52,0.231,0.461,0.041,0.041,0.042,0.041,0.041,0.041,0.042,0.041,0.041,0.041,0.403,0.607
512,0.24,0.298,0.098,0.218,0.167,0.186,0.164,0.326,0.189,0.624,0.265,0.408,0.032,0.041,0.044,0.041,0.04,0.041,0.041,0.041,0.041,0.041,0.566,0.612,0.164,0.224,0.182,0.32,0.104,0.307,0.195,0.193,0.109,0.461,0.192,0.4,0.041,0.041,0.042,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.346,0.535
516,0.237,0.293,0.096,0.215,0.165,0.183,0.161,0.321,0.165,0.536,0.232,0.354,0.032,0.042,0.043,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.503,0.548,0.161,0.221,0.179,0.316,0.102,0.302,0.191,0.188,0.094,0.406,0.158,0.343,0.041,0.041,0.042,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.297,0.467
520,0.233,0.286,0.093,0.21,0.161,0.178,0.157,0.314,0.147,0.46,0.205,0.31,0.032,0.041,0.043,0.04,0.041,0.041,0.041,0.041,0.04,0.041,0.453,0.494,0.158,0.218,0.176,0.311,0.1,0.295,0.187,0.182,0.082,0.362,0.133,0.3,0.041,0.041,0.042,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.26,0.413
524,0.229,0.277,0.09,0.204,0.157,0.171,0.153,0.307,0.131,0.387,0.18,0.271,0.032,0.041,0.043,0.041,0.04,0.041,0.041,0.041,0.041,0.041,0.408,0.444,0.154,0.213,0.173,0.305,0.098,0.287,0.182,0.173,0.073,0.323,0.112,0.262,0.041,0.041,0.042,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.231,0.364
528,0.225,0.268,0.086,0.197,0.151,0.164,0.149,0.299,0.12,0.331,0.162,0.243,0.033,0.041,0.043,0.04,0.04,0.041,0.041,0.04,0.04,0.041,0.374,0.405,0.15,0.208,0.168,0.298,0.096,0.278,0.177,0.164,0.067,0.293,0.098,0.234,0.041,0.041,0.042,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.211,0.329
532,0.221,0.26,0.083,0.191,0.147,0.158,0.145,0.293,0.112,0.29,0.15,0.223,0.032,0.041,0.043,0.04,0.04,0.041,0.04,0.041,0.04,0.041,0.351,0.379,0.146,0.203,0.164,0.293,0.094,0.271,0.172,0.157,0.063,0.273,0.089,0.216,0.041,0.041,0.042,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.198,0.305
536,0.217,0.253,0.08,0.186,0.143,0.153,0.143,0.287,0.107,0.259,0.14,0.209,0.032,0.041,0.043,0.04,0.04,0.041,0.041,0.04,0.04,0.041,0.333,0.359,0.142,0.198,0.16,0.288,0.092,0.265,0.168,0.151,0.06,0.258,0.083,0.203,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.04,0.041,0.189,0.287
540,0.213,0.246,0.078,0.181,0.139,0.148,0.14,0.282,0.103,0.234,0.133,0.198,0.032,0.041,0.043,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.319,0.342,0.138,0.193,0.155,0.283,0.09,0.26,0.163,0.145,0.058,0.246,0.079,0.193,0.041,0.041,0.041,0.041,0.04,0.04,0.041,0.041,0.04,0.04,0.181,0.273